High,mean_2m,min_2m,max_2m,dewpoint_2m,total_precip,surf_press,mean_sea_press,u_wind,v_wind
3000.93,293.7963594,289.4555829,299.4958507,287.0209943,0.004153016,92967.22192,101675.965,-0.077647868,1.21370997
2979.39,293.8344207,288.7838781,299.7598924,286.0595809,0.002136807,92800.50788,101467.0631,0.010611463,1.658101286
2989.43,293.2227862,288.3957776,299.1655743,285.3874601,0.003610731,92743.58053,101417.9127,-0.325046384,1.440009188
2985.03,295.7208003,290.0902147,302.4705706,286.072164,0.00139493,92963.77987,101615.3415,0.18710374,-0.210797805
2985.86,296.3813574,290.0840245,303.0332664,285.2324503,0.001091467,92962.75747,101584.9061,0.050010251,0.149315762
2938.84,296.4370504,290.0915141,303.2445126,285.4312889,0.000714594,92889.03664,101506.6065,0.07553123,0.316754515
2914.39,296.6394295,290.5522917,303.1637901,285.7702045,0.001473189,92814.01698,101427.1682,0.33406478,0.15167683
2940.43,295.2415057,289.0890242,301.8570153,285.1658415,0.001732374,92950.23945,101590.0343,0.230289642,0.404357651
2930.5,295.9317991,289.7689589,303.0830317,284.8695058,0.001043203,92773.83588,101386.695,0.928695732,0.423867679
2890.03,295.2875464,289.0989867,302.5928486,284.1635715,0.001494892,92755.11861,101379.0037,1.071387609,0.279397934
2898.79,294.9247325,289.5362166,301.5027925,284.6097889,0.003123976,92684.88749,101332.1348,0.770078921,-0.051632758
2879.27,295.3497202,290.0694972,301.4266978,285.3805218,0.004430475,92641.53443,101267.8185,0.187529237,0.332202953
2927.01,295.3629721,290.242219,301.2901724,286.0226358,0.003046415,92746.25723,101370.0955,-0.540541706,0.620295716
2939.08,296.4136275,291.1688425,302.6914693,286.1098949,0.00223874,92673.2265,101274.6554,-0.022099761,0.817837732
2928.73,297.3389529,291.3194369,303.9586778,286.0402954,0.002281467,92863.64743,101462.9021,0.122461152,0.747443511
2923.63,298.2015887,291.8946344,305.018671,286.1239961,0.001997888,92853.92331,101438.1397,-0.00293534,0.938809502
